,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
118,ETN,25.96302,1.610502,3.80142,3.10074,18.85475,33.64342,34.36075,12.01384,11.6542,15.02898,14.80941,15.06942,7.26759,9.12804,1.50123,33.46905,49.86532,50.40977,8.15511,1.83878,398600000.0,396.1966,66331.02,1.77557
119,ESLT,31.88294,0.0,3.17048,1.59568,20.46615,24.91646,25.26702,4.87028,5.55306,6.66753,7.98783,10.42011,2.89676,5.25581,1.17639,24.0181,24.68325,31.63844,4.41466,11.67509,44347648.0,24.69349,8794.671,9.22948
120,EME,18.03283,0.566592,3.78848,0.68673,14.09413,14.83296,15.0864,3.90548,3.85662,5.44953,5.35941,21.14919,8.17157,15.02559,1.33856,14.37293,16.03966,16.79121,11.59648,0.0,47545740.0,46.85954,7810.814,7.78749
121,EMR,18.11303,5.489329,4.32265,2.50295,12.20132,43.10001,48.02846,14.35048,9.60569,19.12677,13.60806,25.40046,8.41456,12.17407,1.10294,37.31858,76.06041,92.76592,7.53293,0.0,571500000.0,565.686,46377.23,5.22312
122,WIRE,4.61166,0.454537,1.58138,0.9724,4.08444,36.33733,31.05034,22.86964,18.09,28.8953,22.16242,41.48711,36.96055,40.41155,10.47911,0.0,0.0,0.0,2.90157,0.0,17570164.0,17.08879,2873.425,26.63406
123,ERII,144.4088,0.0,7.55261,12.87917,96.42258,68.07489,60.85367,9.26197,0.0,7.98151,0.0,5.43991,4.69764,5.04898,11.17387,0.0,0.0,0.0,0.0,0.0,56347563.0,50.32665,1370.936,14.15777
124,ESOA,11.2771,0.0,0.8401,0.15041,3.43419,10.72162,9.97004,1.32231,0.27234,2.55239,1.11609,7.77877,3.13422,5.50476,1.30829,45.0229,37.52995,81.89391,61.49436,0.0,16667185.0,8.37801,32.33434,9.15456
125,ENS,24.91286,0.0,2.22032,0.93573,14.71821,21.75121,23.21688,3.80488,4.82598,6.27251,8.53376,9.1001,3.8538,4.70845,2.79149,42.61944,72.34878,74.44944,11.08595,2.31145,40850523.0,40.10026,3392.636,7.42719
126,NETI,3.87403,0.000875,0.46694,1.71243,3.00389,57.94949,0.0,44.01271,0.0,24.48664,0.0,12.66906,10.85108,12.16734,3.74843,8.056,7.03932,8.76186,78.82635,0.0,38647119.0,25.26583,326.5681,0.0
127,EBF,10.91716,0.170168,1.54985,1.19256,7.95527,30.3471,27.60682,10.95321,11.87337,15.31897,15.9545,14.89185,12.40365,13.82552,4.76704,0.0,0.0,0.0,7.95547,0.0,25853027.0,25.03562,514.9923,4.52807
128,NPO,95.63234,0.0,1.3662,1.76366,16.74351,40.0018,41.0828,1.59216,9.20028,8.4825,15.49894,1.5428,0.63392,0.71871,3.57829,35.12814,53.73842,54.82545,33.74639,3.93527,20878123.0,20.62237,1960.665,9.62213
129,EFX,42.68818,0.0,6.12789,4.92257,21.24925,56.44648,55.42243,11.67579,8.71736,18.35444,15.77573,14.8618,5.14372,6.28453,0.77206,58.70392,122.7338,142.7903,0.0,8.69021,122643754.0,121.9321,24912.63,4.09055
130,RAYA,5.1422,0.120545,2.47512,0.97212,4.87034,32.23515,33.75326,18.9044,19.08548,21.12363,22.8651,61.87541,17.60947,41.96255,0.97187,53.66962,2.44124,115.8411,38.05995,8.1027,11450000.0,3.6,21.48,0.0
131,ESAB,18.15784,0.0,2.56995,1.3874,13.1258,34.55273,36.16798,7.86387,4.98962,12.78209,13.25482,10.31419,5.41999,6.59768,1.68252,45.48777,85.72026,85.72026,4.85151,2.99235,60222263.0,56.69242,3648.265,0.0
132,ESP,17.92,0.0,1.33405,1.26919,89.44781,12.05903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49141,0.0,0.0,0.0,0.0,0.0,2702633.0,1.47068,38.78278,0.0
133,EDRY,1.32687,0.169387,0.39104,0.62206,0.98552,72.45231,67.58943,47.79292,41.46605,48.61086,50.09982,34.78367,18.59154,21.23441,1.76049,41.61638,51.21959,71.2809,8.90965,0.0,2844190.0,1.52103,43.65832,21.91628
134,ESEA,1.33377,0.009054,0.83157,0.75431,1.10452,93.44066,88.55864,58.15449,47.41795,58.37087,50.03986,86.72626,38.63369,48.38366,0.63601,38.93861,30.81207,63.76961,94.5798,0.0,7013122.0,3.08295,137.8078,0.0
135,CLWT,15.56886,0.038157,0.83505,0.61143,0.0,25.24911,28.05349,1.12378,0.0,0.0,0.0,2.36513,1.01721,1.51617,1.81397,0.0,0.0,0.0,2.09687,0.0,7723632.0,3.15103,11.04479,0.0
136,EVI,31.03,0.0,3.04444,1.30681,51.01381,24.55375,25.24154,0.66759,1.00139,1.06952,1.16803,1.51261,0.90374,1.22461,1.29839,18.60505,20.16517,22.85775,0.0,9.18044,12574735.0,4.6431,303.022,61.19839
137,AQUA,77.4039,1.5774,8.0698,3.21386,28.18033,31.27754,31.8267,4.24202,2.22521,4.21451,2.75305,11.45602,3.62978,4.58808,1.77968,54.52619,115.4596,119.9068,16.93589,9.62519,122370428.0,120.441,5970.453,25.58961
